match id,dataset_type,win_pred_team_id,win_pred_score,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr
9250275,r1,90,0.8221122263,0.125,0.06666666667,0,0.01960784314,,1,,,0,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9262189,r1,36098,0.6131329585,0.8461538462,0.7798165138,0.6153846154,0.3442622951,153.5,1,0.2386363636,151.2857143,0,66.67,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9128776,r1,48334,0.6354501672,1.178571429,0.9633027523,0.8421052632,0.7530864198,179.625,1,0.5083932854,171.0666667,1,100,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9586919,r1,36098,0.4356747475,1.684210526,0.9325842697,0.2857142857,1.487804878,155.5,0.6732026144,0.6369047619,166,0,75,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9128538,r1,30414,0.2926213946,1.111111111,1.204819277,2.375,0.3103295404,164.125,0.009900990099,0.9056603774,169.9333333,0,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9516653,r1,30435,0.5360389388,2.5,1.779411765,0.4,0.6721311475,184.5,26,0.6111111111,177.0666667,0,50,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9516534,r1,36014,0.4862388556,1.25,1.363636364,0.6818181818,0.3442622951,156.35,0.2574257426,2.4,183.4666667,0,25,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9085474,r1,6698,0.5232139758,1.647058824,1.515151515,3.2,0.603960396,177.3214286,65.28571429,1.789215686,163.0666667,0,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9433752,r1,7727,0.2679604428,1.05,1.474576271,2.428571429,2.904761905,151.6,79.57142857,0.2121212121,167,0,100,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9516359,r1,30428,0.4946423721,0.5625,0.7016129032,1.727272727,21,186.5,1,,171.0666667,0,66.67,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9262133,r1,36098,0.4502734909,1.2,1.391304348,1.714285714,1.487804878,134,1,4.888888889,168.8,0,66.67,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9782086,r1,202,0.4888552577,2.25,2.391304348,1.5,1.952380952,140.5,0.504950495,0.5,157.3333333,1,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9271807,r1,47501,0.5117688898,0.7142857143,1.206896552,0.6,0.5061728395,132,0.4950603732,0.3421052632,158.2,0,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9644102,r1,48,0.4223931458,2.615384615,2.714285714,3.4,1.487804878,144.9333333,67.66666667,1.185185185,176.0666667,0,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9256386,r1,62,0.6253638805,1.411764706,1.095890411,0.4444444444,0.0243902439,156.6333333,0.01960784314,,140.5333333,1,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9272773,r1,33921,0.4559209259,1.210526316,1.074074074,0.9090909091,2.904761905,133.4166667,1,3,155.1333333,0,50,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9433850,r1,10576,0.4929784186,1.034482759,0.9879518072,0.6666666667,1,167.65,2.463414634,0.09375,178.4666667,1,50,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9615073,r1,20,0.5979198035,0.8823529412,0.8595041322,0.9230769231,2.904761905,159.4,41,0.05902777778,169.6,0,60,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9262035,r1,38814,0.4941894192,0.8947368421,1.466666667,0.4,1.487804878,157.5666667,2.017369727,0.2545454545,165.3846154,0,100,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9262252,r1,36098,0.7124016012,1.333333333,0.7777777778,0.8333333333,1.327868852,152.8571429,0.504950495,0.5957943925,152.3333333,1,66.67,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9128363,r1,48334,0.3682583343,0.9130434783,0.9736842105,2.75,1,164.3333333,1,,,0,0,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9085292,r1,10576,0.6141948478,0.8260869565,1.013888889,0.75,2.904761905,146.2333333,55.54545455,0.3333333333,160.6666667,0,33.33,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9272444,r1,33942,0.6206564957,0.7741935484,0.7551020408,0.6363636364,0.0243902439,137.1428571,0.01960784314,,160.8,1,60,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
9457538,r1,40452,0.3605797262,0.7142857143,0.8709677419,0.7142857143,1,149.5,1.485436893,0.875,153.8888889,0,50,xgboost;lgbm;catboost,yes,100;100;100,15;2;10,0.01;0.01;0.01
