frameID,eventType,player1Position,player2Position,ballPosition,speed
1,,"[0, 0, 0]","[0, 0, 0]",,
2,,"[0, 0, 0]","[0, 0, 0]",,
3,,"[0, 0, 0]","[0, 0, 0]",,
4,,"[0, 0, 0]","[0, 0, 0]",,
5,,"[7.3, 46.2, 0.0]","[-3.43, -46.83, 0.0]",,
6,,"[7.3, 46.2, 0.0]","[-6.86, -93.66, 0.0]",,
7,,"[7.5, 45.9, 0.0]","[-3.53, -46.83, 0.0]",,
8,,"[7.6, 45.9, 0.0]","[-3.63, -46.83, 0.0]",,
9,,"[7.6, 46.2, 0.0]","[-3.63, -46.83, 0.0]",,
10,,"[7.7, 46.2, 0.0]","[-3.84, -46.82, 0.0]",,
11,,"[7.7, 46.2, 0.0]","[-3.73, -46.83, 0.0]",,
12,,"[7.7, 46.2, 0.0]","[-3.84, -46.82, 0.0]",,
13,,"[7.3, 46.2, 0.0]","[-3.84, -46.82, 0.0]",,
14,,"[7.0, 46.2, 0.0]","[-3.94, -46.82, 0.0]",,
15,,"[6.6, 46.2, 0.0]","[-3.94, -46.82, 0.0]",,
16,,"[6.4, 46.2, 0.0]","[-3.94, -46.82, 0.0]",,
17,,"[6.4, 46.2, 0.0]","[-4.04, -46.82, 0.0]",,
18,,"[6.6, 46.2, 0.0]","[-4.24, -53.51, 0.0]",,
19,p1cp,"[6.7, 46.2, 0.0]","[-4.09, -48.43, 0.0]","(7.24, 45.39, 3.79)",
20,,"[6.2, 46.2, 0.0]","[-4.09, -48.43, 0.0]",,
21,,"[5.9, 46.2, 0.0]","[-3.99, -48.43, 0.0]",,
22,,"[5.9, 46.2, 0.0]","[-4.29, -55.31, 0.0]",,
23,,"[5.9, 46.2, 0.0]","[-4.29, -55.31, 0.0]",,
24,,"[5.6, 46.3, 0.0]","[-4.15, -46.82, 0.0]",,
25,,"[5.4, 46.3, 0.0]","[-4.15, -46.82, 0.0]",,
26,,"[5.4, 46.3, 0.0]","[-4.15, -46.82, 0.0]",,
27,,"[5.6, 46.3, 0.0]","[-4.25, -46.82, 0.0]",,
28,,"[5.8, 46.2, 0.0]","[-4.25, -46.82, 0.0]",,
29,,"[6.0, 46.2, 0.0]","[-4.35, -46.82, 0.0]",,
30,,"[6.0, 46.2, 0.0]","[-4.35, -46.82, 0.0]",,
31,,"[6.0, 46.2, 0.0]","[-4.35, -46.82, 0.0]",,
32,,"[6.0, 46.2, 0.0]","[-4.35, -46.82, 0.0]",,
33,,"[6.0, 46.2, 0.0]","[-4.66, -46.82, 0.0]",,
34,,"[6.1, 46.2, 0.0]","[-4.76, -46.82, 0.0]",,
35,,"[6.4, 46.0, 0.0]","[-5.18, -46.82, 0.0]",,
36,,"[6.5, 45.8, 0.0]","[-5.18, -46.82, 0.0]",,
37,p1nc,"[6.5, 45.8, 0.0]","[-5.34, -48.42, 0.0]","[-1.4, 0, 5.2]",
38,,"[6.5, 45.9, 0.0]","[-6.28, -48.42, 0.0]",,
39,,"[6.4, 45.9, 0.0]","[-6.28, -48.42, 0.0]",,
40,,"[6.2, 45.9, 0.0]","[-6.7, -48.42, 0.0]",,
41,,"[6.2, 45.9, 0.0]","[-6.72, -46.81, 0.0]",,
42,,"[6.2, 46.0, 0.0]","[-7.01, -48.42, 0.0]",,
43,,"[6.3, 46.0, 0.0]","[-7.01, -48.42, 0.0]",,
44,,"[5.3, 45.6, 0.0]","[-7.33, -48.41, 0.0]",,
45,,"[6.4, 46.1, 0.0]","[-7.64, -48.41, 0.0]",,
46,,"[5.3, 45.6, 0.0]","[-7.64, -48.41, 0.0]",,
47,p1bb,"[6.3, 46.2, 0.0]","[-8.06, -48.41, 0.0]","[-7.3, -32.9, 0]",
48,,"[5.3, 45.6, 0.0]","[-8.06, -48.41, 0.0]",,
49,,"[6.5, 46.2, 0.0]","[-8.16, -48.41, 0.0]",,50.17326368132339
50,,"[5.3, 45.6, 0.0]","[-8.06, -48.41, 0.0]",,
51,,"[6.7, 46.2, 0.0]","[-7.85, -48.41, 0.0]",,
52,,"[5.3, 45.6, 0.0]","[-8.06, -48.41, 0.0]",,
53,,"[7.0, 46.2, 0.0]","[-8.06, -48.41, 0.0]",,
54,,"[5.3, 45.6, 0.0]","[-8.06, -48.41, 0.0]",,
55,,"[7.1, 46.2, 0.0]","[-8.06, -48.41, 0.0]",,
56,,"[5.3, 45.6, 0.0]","[-8.16, -48.41, 0.0]",,
57,,"[7.4, 46.2, 0.0]","[-8.37, -48.41, 0.0]",,
58,,"[5.3, 45.6, 0.0]","[-8.48, -48.41, 0.0]",,
59,,"[7.5, 46.2, 0.0]","[-9.0, -48.41, 0.0]",,
60,,"[5.3, 45.6, 0.0]","[-9.52, -48.41, 0.0]",,
61,,"[7.6, 46.2, 0.0]","[-8.38, -53.5, 0.0]",,
62,,"[5.3, 45.6, 0.0]","[-8.16, -48.41, 0.0]",,
